epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.9401,0.7974,2.20922,0.97893,0.00436,1,0.98648,0.80721,0.64545,2.87436,0.80797,0.00052,0.00052,0.00052
2,151.08,0.66353,1.09627,0.9163,0.00427,0.98039,0.01246,0.00747,1.16044,3.7605,1.20854,0.00104951,0.00104951,0.00104951
3,228.198,0.62298,0.99816,0.91414,0.02148,0.17647,0.05677,0.04661,0.79627,3.41174,1.0046,0.00156832,0.00156832,0.00156832
4,306.223,0.62115,0.86713,0.90381,0.7477,0.465,0.54017,0.38294,1.10041,2.90255,1.22301,0.0019406,0.0019406,0.0019406
5,376.157,0.64277,0.80297,0.91952,0.97994,0.95783,0.9899,0.8377,0.57885,1.15008,0.8782,0.0019208,0.0019208,0.0019208
6,436.9,0.61632,0.72775,0.89535,0.97991,1,0.9925,0.89694,0.51686,0.68979,0.85502,0.001901,0.001901,0.001901
7,501.4,0.58447,0.69005,0.89367,0.96062,1,0.99423,0.88474,0.51829,0.72182,0.8613,0.0018812,0.0018812,0.0018812
8,574.625,0.57996,0.60297,0.89208,0.97882,0.98039,0.99031,0.8984,0.4706,0.59909,0.83222,0.0018614,0.0018614,0.0018614
9,640.801,0.54665,0.56016,0.87936,0.98256,0.96078,0.99405,0.89195,0.5152,0.60358,0.86543,0.0018416,0.0018416,0.0018416
10,713.714,0.54531,0.54562,0.88029,0.96211,1,0.99404,0.9092,0.46208,0.45582,0.83838,0.0018218,0.0018218,0.0018218
11,790.726,0.54509,0.50676,0.89069,0.95957,1,0.99028,0.87025,0.51572,0.50406,0.8423,0.001802,0.001802,0.001802
12,883.407,0.54472,0.49713,0.88374,0.99933,1,0.995,0.898,0.4744,0.38722,0.84774,0.0017822,0.0017822,0.0017822
13,963.549,0.54494,0.46999,0.87963,0.97968,1,0.98385,0.88341,0.4704,0.3783,0.83351,0.0017624,0.0017624,0.0017624
14,1051.89,0.53233,0.45608,0.87443,0.97835,1,0.995,0.91886,0.41596,0.48385,0.82222,0.0017426,0.0017426,0.0017426
15,1124.04,0.50931,0.43974,0.8664,0.99658,1,0.995,0.92195,0.41226,0.34228,0.82158,0.0017228,0.0017228,0.0017228
16,1199.39,0.52593,0.43231,0.88029,0.9997,1,0.995,0.92145,0.44676,0.37709,0.83266,0.001703,0.001703,0.001703
17,1288.8,0.51905,0.42622,0.86826,0.99973,1,0.995,0.91563,0.44162,0.3428,0.82598,0.0016832,0.0016832,0.0016832
18,1387.04,0.50163,0.40106,0.86553,1,0.99334,0.995,0.91792,0.41635,0.33709,0.8196,0.0016634,0.0016634,0.0016634
19,1483.77,0.51554,0.41894,0.87453,0.97892,1,0.99481,0.90567,0.43886,0.28762,0.8203,0.0016436,0.0016436,0.0016436
20,1590.21,0.48861,0.38107,0.85125,0.96224,0.99935,0.99384,0.89762,0.45324,0.3393,0.82751,0.0016238,0.0016238,0.0016238
21,1689.22,0.49441,0.38118,0.85676,0.96038,1,0.99305,0.90194,0.47868,0.31132,0.83858,0.001604,0.001604,0.001604
22,1782.01,0.49721,0.3782,0.86302,0.97701,1,0.99058,0.90193,0.43619,0.31652,0.82317,0.0015842,0.0015842,0.0015842
23,1868.84,0.47865,0.37672,0.85585,0.93696,0.98039,0.99088,0.90827,0.39845,0.28734,0.8178,0.0015644,0.0015644,0.0015644
24,1944.28,0.50548,0.3837,0.86773,0.97943,1,0.99327,0.91636,0.4215,0.29911,0.82233,0.0015446,0.0015446,0.0015446
25,2008.62,0.4954,0.37922,0.85975,0.98074,0.99838,0.98942,0.8931,0.42966,0.32573,0.82614,0.0015248,0.0015248,0.0015248
26,2070.55,0.47474,0.3786,0.85067,1,0.97878,0.995,0.92398,0.40632,0.26759,0.8109,0.001505,0.001505,0.001505
27,2146.86,0.47447,0.36492,0.85073,0.98073,0.99812,0.99481,0.90672,0.43752,0.27331,0.82558,0.0014852,0.0014852,0.0014852
28,2224.7,0.48612,0.36422,0.86721,0.97966,1,0.9925,0.91659,0.42045,0.2708,0.8206,0.0014654,0.0014654,0.0014654
29,2290.85,0.47874,0.3594,0.8553,0.97707,1,0.99404,0.91757,0.42815,0.26724,0.82662,0.0014456,0.0014456,0.0014456
30,2355.67,0.4755,0.33841,0.85629,0.97867,1,0.99288,0.9205,0.42483,0.2734,0.83311,0.0014258,0.0014258,0.0014258
31,2418.99,0.47607,0.33498,0.85736,0.99556,1,0.995,0.90483,0.44837,0.23655,0.82613,0.001406,0.001406,0.001406
32,2481.37,0.46147,0.32215,0.84881,0.98017,1,0.995,0.92607,0.46432,0.24385,0.83458,0.0013862,0.0013862,0.0013862
33,2543.44,0.47649,0.3395,0.85324,0.97889,1,0.99404,0.92661,0.41211,0.2765,0.81464,0.0013664,0.0013664,0.0013664
34,2614.16,0.44087,0.30635,0.83388,0.9806,1,0.99404,0.91216,0.42308,0.27208,0.82193,0.0013466,0.0013466,0.0013466
35,2698.72,0.45746,0.31929,0.85297,0.9804,1,0.99404,0.91303,0.43512,0.26487,0.8248,0.0013268,0.0013268,0.0013268
36,2784.11,0.44815,0.31142,0.85139,0.9792,1,0.99365,0.91084,0.45003,0.25943,0.82303,0.001307,0.001307,0.001307
37,2869.81,0.45788,0.32438,0.85014,0.99854,1,0.995,0.90773,0.45347,0.26127,0.82347,0.0012872,0.0012872,0.0012872
38,2950.37,0.45237,0.3164,0.85411,0.99793,1,0.995,0.91122,0.42701,0.2287,0.82342,0.0012674,0.0012674,0.0012674
39,3035.64,0.47265,0.33302,0.85064,0.9788,0.98039,0.99462,0.90153,0.43831,0.28802,0.82012,0.0012476,0.0012476,0.0012476
40,5590.86,0.46774,0.31524,0.84938,0.97926,1,0.99365,0.91647,0.38101,0.23827,0.80971,0.0012278,0.0012278,0.0012278
41,5656.13,0.45063,0.30707,0.84461,0.97962,1,0.99288,0.89973,0.44164,0.24411,0.81914,0.001208,0.001208,0.001208
42,5720.81,0.45306,0.31338,0.84765,0.97974,1,0.98827,0.91467,0.43629,0.25117,0.82034,0.0011882,0.0011882,0.0011882
43,5785.68,0.45301,0.31057,0.84948,0.97976,1,0.99058,0.91049,0.44968,0.25585,0.82363,0.0011684,0.0011684,0.0011684
44,6314.2,0.44456,0.29824,0.84365,0.98075,0.99902,0.99327,0.90542,0.43254,0.24021,0.82298,0.0011486,0.0011486,0.0011486
